ID,Gender,Birth Date,Jobcat,Salary,Job Time,Prev Exp,Minority,Phone Number,Name
1,f,3-Feb-1952,3,"$57,000",98,144,0,7993974563,Anusha
2,f,23-May-1958,1,"$40,200",98,36,0,9121007719,Alekhya
3,f,26-Jul-1929,1,"$21,450",98,381,0,8688508995,Harshitha
4,f,15-Apr-1947,1,"$21,900",98,190,0,9676278178,Divya
5,f,9-Feb-1955,1,"$45,000",98,138,0,9121901154,Tanmayee
6,m,22-Aug-1958,1,"$32,100",98,67,0,9849667835,Rosy
7,m,26-Apr-1956,1,"$36,000",98,114,0,9849667836,Rosy
8,f,6-May-1966,1,"$21,900",98,0,0,9849667837,Rosy
9,f,23-Jan-1946,1,"$27,900",98,115,0,9849667838,Rosy
10,f,13-Feb-1946,1,"$24,000",98,244,0,9849667839,Rosy
11,f,7-Feb-1950,1,"$30,300",98,143,0,9849667840,Rosy
12,m,11-Jan-1966,1,"$28,350",98,26,1,9849667841,Rosy
13,m,17-Jul-1960,1,"$27,750",98,34,1,9849667842,Rosy
14,f,26-Feb-1949,1,"$35,100",98,137,1,9849667843,Rosy
15,m,29-Aug-1962,1,"$27,300",97,66,0,9849667844,Rosy
16,m,17-Nov-1964,1,"$40,800",97,24,0,9849667845,Rosy
17,m,18-Jul-1962,1,"$46,000",97,48,0,9849667846,Rosy
18,m,20-Mar-1956,3,"$1,03,750",97,70,0,9849667847,Rosy
19,m,19-Aug-1962,1,"$42,300",97,103,0,9849667848,Rosy
20,f,23-Jan-1940,1,"$26,250",97,48,0,9849667849,Rosy
21,f,19-Feb-1963,1,"$38,850",97,17,0,9849667850,Rosy
22,m,24-Sep-1940,1,"$21,750",97,315,1,9849667851,Rosy
23,f,15-Mar-1965,1,"$24,000",97,75,1,9849667852,Rosy
24,f,27-Mar-1933,1,"$16,950",97,124,1,9849667853,Rosy
25,f,1-Jul-1942,1,"$21,150",97,171,1,9849667854,Rosy
26,m,8-Nov-1966,1,"$31,050",96,14,0,9849667855,Rosy
27,m,19-Mar-1954,3,"$60,375",96,96,0,9849667856,Rosy
28,m,11-Apr-1963,1,"$32,550",96,43,0,9849667857,Rosy
29,m,28-Jan-1944,3,"$1,35,000",96,199,0,9849667858,Rosy
30,m,17-Sep-1961,1,"$31,200",96,54,0,9849667859,Rosy
31,m,24-Feb-1964,1,"$36,150",96,83,0,9849667860,Rosy
32,m,28-Jan-1954,3,"$1,10,625",96,120,0,9849667861,Rosy
33,m,18-Mar-1961,1,"$42,000",96,68,0,9849667862,Rosy
34,m,2-Feb-1949,3,"$92,000",96,175,0,9849667863,Rosy
35,m,22-Aug-1961,3,"$81,250",96,18,0,9849667864,Rosy
36,f,7-Aug-1963,1,"$31,350",96,52,0,9849667865,Rosy
37,m,9-Oct-1954,1,"$29,100",96,113,1,9849667866,Rosy
38,m,27-Apr-1962,1,"$31,350",96,49,1,9849667867,Rosy
39,m,22-Jun-1960,1,"$36,000",96,46,1,9849667868,Rosy
40,f,28-Aug-1933,1,"$19,200",96,23,1,9849667869,Rosy
41,f,18-Mar-1961,1,"$23,550",96,52,1,9849667870,Rosy
42,m,23-Sep-1960,1,"$35,100",95,90,0,9849667871,Rosy
43,m,18-Jan-1964,1,"$23,250",95,46,0,9849667872,Rosy
44,m,15-Jun-1963,1,"$29,250",95,50,0,9849667873,Rosy
45,m,2-Aug-1938,2,"$30,750",95,307,0,9849667874,Rosy
46,f,18-Nov-1940,1,"$22,350",95,165,0,9849667875,Rosy
47,f,28-Apr-1938,1,"$30,000",95,228,0,9849667876,Rosy
48,m,7-Jun-1947,2,"$30,750",94,240,0,9849667877,Rosy
49,m,16-Sep-1958,1,"$34,800",94,93,0,9849667878,Rosy
50,m,9-Feb-1960,3,"$60,000",94,59,0,9849667879,Rosy
51,m,8-Jul-1962,1,"$35,550",94,48,0,9849667880,Rosy
52,m,12-Nov-1963,1,"$45,150",94,40,0,9849667881,Rosy
53,m,21-Apr-1954,3,"$73,750",94,56,0,9849667882,Rosy
54,m,4-Jun-1931,1,"$25,050",94,444,0,9849667883,Rosy
55,m,25-Jun-1960,1,"$27,000",94,120,0,9849667884,Rosy
56,m,16-Apr-1962,1,"$26,850",94,5,0,9849667885,Rosy
57,m,15-Apr-1963,1,"$33,900",94,78,0,9849667886,Rosy
58,f,14-Nov-1964,1,"$26,400",94,3,0,9849667887,Rosy
59,m,7-May-1961,1,"$28,050",94,36,1,9849667888,Rosy
60,m,16-Feb-1959,1,"$30,900",94,102,1,9849667889,Rosy
61,m,28-Apr-1964,1,"$22,500",94,36,1,9849667890,Rosy
62,m,18-Jul-1962,3,"$48,000",93,22,0,9849667891,Rosy
63,m,20-Aug-1961,3,"$55,000",93,32,0,9849667892,Rosy
64,m,28-Sep-1963,3,"$53,125",93,48,0,9849667893,Rosy
65,m,28-Mar-1964,1,"$21,900",93,41,0,9849667894,Rosy
66,m,16-Feb-1962,3,"$78,125",93,7,0,9849667895,Rosy
67,m,28-May-1964,3,"$46,000",93,35,0,9849667896,Rosy
68,m,5-May-1963,3,"$45,250",93,36,0,9849667897,Rosy
69,m,23-Jun-1960,3,"$56,550",93,34,0,9849667898,Rosy
70,m,8-Feb-1962,1,"$41,100",93,27,0,9849667899,Rosy
71,m,26-Aug-1948,3,"$82,500",93,207,0,9849667900,Rosy
72,f,7-Jan-1964,1,"$54,000",93,11,0,9849667901,Rosy
73,f,9-Feb-1968,1,"$26,400",93,0,0,9849667902,Rosy
74,f,28-Apr-1933,1,"$33,900",93,192,0,9849667903,Rosy
75,f,12-Aug-1965,1,"$24,150",93,0,0,9849667904,Rosy
76,f,3-Sep-1967,1,"$29,250",93,11,0,9849667905,Rosy
77,f,9-Sep-1968,1,"$27,600",93,6,0,9849667906,Rosy
78,f,20-Aug-1968,1,"$22,950",93,10,0,9849667907,Rosy
79,f,23-Jan-1962,1,"$34,800",93,8,0,9849667908,Rosy
80,f,25-May-1961,1,"$51,000",93,22,0,9849667909,Rosy
81,f,12-Mar-1968,1,"$24,300",93,5,0,9849667910,Rosy
82,f,28-Aug-1947,1,"$24,750",93,193,1,9849667911,Rosy
83,f,12-Oct-1967,1,"$22,950",93,0,1,9849667912,Rosy
84,f,12-Mar-1967,1,"$25,050",93,8,1,9849667913,Rosy
85,m,9-Apr-1962,1,"$25,950",92,42,0,9849667914,Rosy
86,m,25-Aug-1961,1,"$31,650",92,64,0,9849667915,Rosy
87,m,20-Oct-1959,1,"$24,150",92,130,0,9849667916,Rosy
88,m,10-Feb-1962,3,"$72,500",92,10,0,9849667917,Rosy
89,m,24-Jun-1961,3,"$68,750",92,8,0,9849667918,Rosy
90,f,27-Feb-1938,1,"$16,200",92,0,0,9849667919,Rosy
91,f,4-Nov-1967,1,"$20,100",92,24,0,9849667920,Rosy
92,f,25-Jun-1968,1,"$24,000",92,6,0,9849667921,Rosy
93,f,5-Mar-1968,1,"$25,950",92,0,0,9849667922,Rosy
94,f,4-Aug-1950,1,"$24,600",92,44,0,9849667923,Rosy
95,f,8-Aug-1968,1,"$28,500",92,6,0,9849667924,Rosy
96,m,2-Oct-1933,2,"$30,750",92,432,1,9849667925,Rosy
97,m,18-Jan-1953,1,"$40,200",92,168,1,9849667926,Rosy
98,m,17-May-1956,2,"$30,000",92,144,1,9849667927,Rosy
99,f,7-Jul-1968,1,"$22,050",92,5,1,9849667928,Rosy
100,m,25-Oct-1963,3,"$78,250",91,47,0,9849667929,Rosy
